dataset,n,partitioner,method,block_formula,block_size,r2,time_s,xgb_r2,xgb_time_s,r2_delta,speed_ratio
friedman1,2000,pyramid_hart,variance_ordered,current,,0.91367,0.274,0.91239,0.791,0.00128,0.35
friedman1,2000,pyramid_hart,variance_ordered,sqrt,,0.91367,0.295,0.91239,0.791,0.00128,0.37
friedman1,2000,pyramid_hart,variance_ordered,log,,0.91367,0.279,0.91239,0.791,0.00128,0.35
friedman1,2000,pyramid_hart,variance_ordered,tenth,,0.91367,0.313,0.91239,0.791,0.00128,0.4
friedman1,2000,pyramid_hart,variance_ordered,fifth,,0.91367,0.27,0.91239,0.791,0.00128,0.34
friedman1,2000,pyramid_hart,variance_ordered,none,,0.91367,0.292,0.91239,0.791,0.00128,0.37
friedman1,2000,hvrt,variance_ordered,current,,0.91229,0.275,0.91239,0.791,-0.00011,0.35
friedman1,2000,hvrt,variance_ordered,sqrt,,0.91229,0.3,0.91239,0.791,-0.00011,0.38
friedman1,2000,hvrt,variance_ordered,log,,0.91229,0.302,0.91239,0.791,-0.00011,0.38
friedman1,2000,hvrt,variance_ordered,tenth,,0.91229,0.262,0.91239,0.791,-0.00011,0.33
friedman1,2000,hvrt,variance_ordered,fifth,,0.91229,0.323,0.91239,0.791,-0.00011,0.41
friedman1,2000,hvrt,variance_ordered,none,,0.91229,0.263,0.91239,0.791,-0.00011,0.33
friedman1,5000,pyramid_hart,variance_ordered,current,,0.91727,0.688,0.92286,0.626,-0.00559,1.1
friedman1,5000,pyramid_hart,variance_ordered,sqrt,,0.91727,0.77,0.92286,0.626,-0.00559,1.23
friedman1,5000,pyramid_hart,variance_ordered,log,,0.91727,0.723,0.92286,0.626,-0.00559,1.16
friedman1,5000,pyramid_hart,variance_ordered,tenth,,0.91727,0.659,0.92286,0.626,-0.00559,1.05
friedman1,5000,pyramid_hart,variance_ordered,fifth,,0.91727,0.748,0.92286,0.626,-0.00559,1.2
friedman1,5000,pyramid_hart,variance_ordered,none,,0.91727,0.753,0.92286,0.626,-0.00559,1.2
friedman1,5000,hvrt,variance_ordered,current,,0.9189,0.713,0.92286,0.626,-0.00396,1.14
friedman1,5000,hvrt,variance_ordered,sqrt,,0.9189,0.746,0.92286,0.626,-0.00396,1.19
friedman1,5000,hvrt,variance_ordered,log,,0.9189,0.746,0.92286,0.626,-0.00396,1.19
friedman1,5000,hvrt,variance_ordered,tenth,,0.9189,0.765,0.92286,0.626,-0.00396,1.22
friedman1,5000,hvrt,variance_ordered,fifth,,0.9189,0.713,0.92286,0.626,-0.00396,1.14
friedman1,5000,hvrt,variance_ordered,none,,0.9189,0.754,0.92286,0.626,-0.00396,1.21
