dataset,n,coeff,block_size,r2,time_s,xgb_r2,xgb_time_s,r2_delta,speed_ratio
friedman1,10000,10,2000,0.91877,0.958,0.93136,0.749,-0.01259,1.28
friedman1,10000,15,2000,0.91877,0.9,0.93136,0.749,-0.01259,1.2
friedman1,10000,20,2000,0.91877,0.871,0.93136,0.749,-0.01259,1.16
friedman1,10000,25,2500,0.91911,1.045,0.93136,0.749,-0.01225,1.4
friedman1,10000,30,3000,0.92092,1.258,0.93136,0.749,-0.01044,1.68
friedman1,10000,40,4000,0.92084,1.597,0.93136,0.749,-0.01052,2.13
friedman1,20000,10,2000,0.91605,0.946,0.93186,0.693,-0.01581,1.37
friedman1,20000,15,2121,0.92008,1.503,0.93186,0.693,-0.01178,2.17
friedman1,20000,20,2828,0.92041,1.338,0.93186,0.693,-0.01145,1.93
friedman1,20000,25,3535,0.92017,1.493,0.93186,0.693,-0.0117,2.16
friedman1,20000,30,4242,0.91873,1.848,0.93186,0.693,-0.01313,2.67
friedman1,20000,40,5656,0.92175,2.17,0.93186,0.693,-0.01011,3.13
friedman1,50000,10,2236,0.91998,1.962,0.93337,0.854,-0.01339,2.3
friedman1,50000,15,3354,0.92037,1.801,0.93337,0.854,-0.013,2.11
friedman1,50000,20,4472,0.91934,2.185,0.93337,0.854,-0.01403,2.56
friedman1,50000,25,5590,0.92186,2.424,0.93337,0.854,-0.01152,2.84
friedman1,50000,30,6708,0.92147,2.877,0.93337,0.854,-0.0119,3.37
friedman1,50000,40,8944,0.92052,3.681,0.93337,0.854,-0.01286,4.31
friedman1,100000,10,3162,0.92218,2.449,0.93401,1.02,-0.01183,2.4
friedman1,100000,15,4743,0.91804,3.135,0.93401,1.02,-0.01596,3.07
friedman1,100000,20,6324,0.92105,3.737,0.93401,1.02,-0.01296,3.66
friedman1,100000,25,7905,0.91977,4.263,0.93401,1.02,-0.01424,4.18
friedman1,100000,30,9486,0.92034,4.719,0.93401,1.02,-0.01367,4.63
friedman1,100000,40,12649,0.92052,5.802,0.93401,1.02,-0.01349,5.69
friedman1,300000,10,5477,0.91971,5.798,0.93536,2.44,-0.01565,2.38
friedman1,300000,15,8215,0.92155,7.393,0.93536,2.44,-0.01381,3.03
friedman1,300000,20,10954,0.92052,8.609,0.93536,2.44,-0.01485,3.53
friedman1,300000,25,13693,0.92066,9.749,0.93536,2.44,-0.0147,4.0
friedman1,300000,30,16431,0.91849,10.385,0.93536,2.44,-0.01688,4.26
friedman1,300000,40,21908,0.91983,12.709,0.93536,2.44,-0.01553,5.21
friedman1,500000,10,7071,0.92002,9.505,0.93573,2.578,-0.01572,3.69
friedman1,500000,15,10606,0.92059,9.683,0.93573,2.578,-0.01515,3.76
friedman1,500000,20,14142,0.92029,12.503,0.93573,2.578,-0.01544,4.85
friedman1,500000,25,17677,0.91845,14.025,0.93573,2.578,-0.01729,5.44
friedman1,500000,30,21213,0.92124,15.416,0.93573,2.578,-0.01449,5.98
friedman1,500000,40,28284,0.91798,17.971,0.93573,2.578,-0.01775,6.97
friedman3,10000,10,2000,0.25813,0.792,0.26241,0.601,-0.00428,1.32
friedman3,10000,15,2000,0.25813,0.8,0.26241,0.601,-0.00428,1.33
friedman3,10000,20,2000,0.25813,0.77,0.26241,0.601,-0.00428,1.28
friedman3,10000,25,2500,0.26124,1.475,0.26241,0.601,-0.00117,2.45
friedman3,10000,30,3000,0.26226,1.189,0.26241,0.601,-0.00015,1.98
friedman3,10000,40,4000,0.2646,1.376,0.26241,0.601,0.00219,2.29
friedman3,20000,10,2000,0.26031,1.197,0.26988,0.632,-0.00957,1.89
friedman3,20000,15,2121,0.26294,0.761,0.26988,0.632,-0.00694,1.2
friedman3,20000,20,2828,0.26281,0.922,0.26988,0.632,-0.00708,1.46
friedman3,20000,25,3535,0.26626,1.14,0.26988,0.632,-0.00362,1.8
friedman3,20000,30,4242,0.26691,1.264,0.26988,0.632,-0.00297,2.0
friedman3,20000,40,5656,0.27197,1.383,0.26988,0.632,0.00209,2.19
friedman3,50000,10,2236,0.26585,1.041,0.27564,0.639,-0.00979,1.63
friedman3,50000,15,3354,0.26891,1.615,0.27564,0.639,-0.00673,2.53
friedman3,50000,20,4472,0.26989,1.91,0.27564,0.639,-0.00575,2.99
friedman3,50000,25,5590,0.27366,2.01,0.27564,0.639,-0.00197,3.15
friedman3,50000,30,6708,0.27363,2.382,0.27564,0.639,-0.002,3.73
friedman3,50000,40,8944,0.27407,2.912,0.27564,0.639,-0.00157,4.56
friedman3,100000,10,3162,0.27148,2.03,0.28091,0.898,-0.00942,2.26
friedman3,100000,15,4743,0.27266,3.143,0.28091,0.898,-0.00825,3.5
friedman3,100000,20,6324,0.27813,2.873,0.28091,0.898,-0.00277,3.2
friedman3,100000,25,7905,0.27824,3.435,0.28091,0.898,-0.00266,3.82
friedman3,100000,30,9486,0.27837,3.859,0.28091,0.898,-0.00253,4.3
friedman3,100000,40,12649,0.2791,4.703,0.28091,0.898,-0.00181,5.24
friedman3,300000,10,5477,0.27704,5.842,0.28158,1.255,-0.00454,4.66
friedman3,300000,15,8215,0.27788,5.938,0.28158,1.255,-0.00369,4.73
friedman3,300000,20,10954,0.27809,6.831,0.28158,1.255,-0.00349,5.44
friedman3,300000,25,13693,0.27812,7.549,0.28158,1.255,-0.00346,6.01
friedman3,300000,30,16431,0.2784,8.997,0.28158,1.255,-0.00317,7.17
friedman3,300000,40,21908,0.2785,10.041,0.28158,1.255,-0.00308,8.0
friedman3,500000,10,7071,0.27519,8.178,0.28005,1.743,-0.00487,4.69
friedman3,500000,15,10606,0.27618,8.402,0.28005,1.743,-0.00387,4.82
friedman3,500000,20,14142,0.27596,9.565,0.28005,1.743,-0.00409,5.49
friedman3,500000,25,17677,0.27614,9.618,0.28005,1.743,-0.00391,5.52
friedman3,500000,30,21213,0.27625,11.516,0.28005,1.743,-0.0038,6.61
friedman3,500000,40,28284,0.27671,14.08,0.28005,1.743,-0.00334,8.08
linreg_20d,10000,10,2000,0.9096,1.174,0.89116,0.87,0.01844,1.35
linreg_20d,10000,15,2000,0.9096,1.708,0.89116,0.87,0.01844,1.96
linreg_20d,10000,20,2000,0.9096,1.383,0.89116,0.87,0.01844,1.59
linreg_20d,10000,25,2500,0.90888,1.529,0.89116,0.87,0.01772,1.76
linreg_20d,10000,30,3000,0.90733,1.639,0.89116,0.87,0.01616,1.88
linreg_20d,10000,40,4000,0.90388,2.017,0.89116,0.87,0.01271,2.32
linreg_20d,20000,10,2000,0.91377,1.316,0.89928,0.905,0.01449,1.45
linreg_20d,20000,15,2121,0.91356,1.891,0.89928,0.905,0.01428,2.09
linreg_20d,20000,20,2828,0.91258,1.753,0.89928,0.905,0.0133,1.94
linreg_20d,20000,25,3535,0.91058,1.917,0.89928,0.905,0.0113,2.12
linreg_20d,20000,30,4242,0.90901,2.345,0.89928,0.905,0.00973,2.59
linreg_20d,20000,40,5656,0.90699,2.891,0.89928,0.905,0.00771,3.2
linreg_20d,50000,10,2236,0.91114,1.751,0.89788,1.193,0.01326,1.47
linreg_20d,50000,15,3354,0.90793,2.758,0.89788,1.193,0.01006,2.31
linreg_20d,50000,20,4472,0.9067,2.661,0.89788,1.193,0.00882,2.23
linreg_20d,50000,25,5590,0.90525,3.34,0.89788,1.193,0.00737,2.8
linreg_20d,50000,30,6708,0.90368,3.732,0.89788,1.193,0.0058,3.13
linreg_20d,50000,40,8944,0.90209,4.928,0.89788,1.193,0.00421,4.13
linreg_20d,100000,10,3162,0.90762,3.443,0.898,1.456,0.00961,2.36
linreg_20d,100000,15,4743,0.90574,3.721,0.898,1.456,0.00774,2.56
linreg_20d,100000,20,6324,0.90339,4.477,0.898,1.456,0.00539,3.08
linreg_20d,100000,25,7905,0.90174,5.501,0.898,1.456,0.00374,3.78
linreg_20d,100000,30,9486,0.90085,6.066,0.898,1.456,0.00285,4.17
linreg_20d,100000,40,12649,0.89926,8.023,0.898,1.456,0.00126,5.51
linreg_20d,300000,10,5477,0.91921,7.471,0.91758,3.654,0.00163,2.04
linreg_20d,300000,15,8215,0.91731,9.159,0.91758,3.654,-0.00027,2.51
linreg_20d,300000,20,10954,0.91613,10.834,0.91758,3.654,-0.00145,2.96
linreg_20d,300000,25,13693,0.9158,12.332,0.91758,3.654,-0.00178,3.37
