dataset,n,refit_interval,coeff,block_size,coverage,r2,time_s,xgb_r2,xgb_time_s,r2_delta,speed_ratio
friedman1,20000,25,10,2000,1.0,0.91889,1.761,0.93186,1.137,-0.01297,1.55
friedman1,20000,25,15,2121,1.0,0.92075,1.606,0.93186,1.137,-0.01111,1.41
friedman1,20000,25,25,3535,1.0,0.9208,2.347,0.93186,1.137,-0.01106,2.06
friedman1,20000,25,40,5656,1.0,0.92212,3.99,0.93186,1.137,-0.00975,3.51
friedman1,20000,50,10,2000,1.0,0.91605,1.077,0.93186,1.137,-0.01581,0.95
friedman1,20000,50,15,2121,1.0,0.92008,1.178,0.93186,1.137,-0.01178,1.04
friedman1,20000,50,25,3535,1.0,0.92017,1.728,0.93186,1.137,-0.0117,1.52
friedman1,20000,50,40,5656,1.0,0.92175,2.511,0.93186,1.137,-0.01011,2.21
friedman1,20000,100,10,2000,0.5,0.91777,0.809,0.93186,1.137,-0.01409,0.71
friedman1,20000,100,15,2121,0.53,0.92017,0.796,0.93186,1.137,-0.01169,0.7
friedman1,20000,100,25,3535,0.884,0.91967,1.156,0.93186,1.137,-0.01219,1.02
friedman1,20000,100,40,5656,1.0,0.91975,1.239,0.93186,1.137,-0.01211,1.09
friedman1,20000,200,10,2000,0.2,0.91837,0.516,0.93186,1.137,-0.01349,0.45
friedman1,20000,200,15,2121,0.212,0.91838,0.668,0.93186,1.137,-0.01348,0.59
friedman1,20000,200,25,3535,0.353,0.91833,0.912,0.93186,1.137,-0.01353,0.8
friedman1,20000,200,40,5656,0.566,0.91926,1.147,0.93186,1.137,-0.0126,1.01
friedman1,50000,25,10,2236,0.894,0.91827,2.162,0.93337,0.69,-0.0151,3.13
friedman1,50000,25,15,3354,1.0,0.92304,3.363,0.93337,0.69,-0.01033,4.87
friedman1,50000,25,25,5590,1.0,0.92039,3.866,0.93337,0.69,-0.01298,5.6
friedman1,50000,25,40,8944,1.0,0.91845,5.977,0.93337,0.69,-0.01492,8.66
friedman1,50000,50,10,2236,0.447,0.91998,1.599,0.93337,0.69,-0.01339,2.32
friedman1,50000,50,15,3354,0.671,0.92037,1.581,0.93337,0.69,-0.013,2.29
friedman1,50000,50,25,5590,1.0,0.92186,2.612,0.93337,0.69,-0.01152,3.78
friedman1,50000,50,40,8944,1.0,0.92052,3.953,0.93337,0.69,-0.01286,5.72
friedman1,50000,100,10,2236,0.224,0.91827,1.244,0.93337,0.69,-0.0151,1.8
friedman1,50000,100,15,3354,0.335,0.92003,1.505,0.93337,0.69,-0.01334,2.18
friedman1,50000,100,25,5590,0.559,0.91932,1.961,0.93337,0.69,-0.01406,2.84
friedman1,50000,100,40,8944,0.894,0.91864,2.377,0.93337,0.69,-0.01473,3.44
friedman1,50000,200,10,2236,0.089,0.91841,1.013,0.93337,0.69,-0.01496,1.47
friedman1,50000,200,15,3354,0.134,0.9175,1.141,0.93337,0.69,-0.01587,1.65
friedman1,50000,200,25,5590,0.224,0.91891,1.505,0.93337,0.69,-0.01447,2.18
friedman1,50000,200,40,8944,0.358,0.91661,2.086,0.93337,0.69,-0.01677,3.02
friedman1,100000,25,10,3162,0.632,0.92146,3.968,0.93401,1.045,-0.01254,3.8
friedman1,100000,25,15,4743,0.949,0.91948,4.44,0.93401,1.045,-0.01453,4.25
friedman1,100000,25,25,7905,1.0,0.92033,6.331,0.93401,1.045,-0.01368,6.06
friedman1,100000,25,40,12649,1.0,0.92087,9.348,0.93401,1.045,-0.01313,8.94
friedman1,100000,50,10,3162,0.316,0.92218,2.524,0.93401,1.045,-0.01183,2.41
friedman1,100000,50,15,4743,0.474,0.91804,3.221,0.93401,1.045,-0.01596,3.08
friedman1,100000,50,25,7905,0.79,0.91977,4.119,0.93401,1.045,-0.01424,3.94
friedman1,100000,50,40,12649,1.0,0.92052,6.229,0.93401,1.045,-0.01349,5.96
friedman1,100000,100,10,3162,0.158,0.92397,2.169,0.93401,1.045,-0.01003,2.08
